time;nb_octet;file;size;rtt
463.0;403640;data_0.tr;0;1
464.0;624880;data_0.tr;0;1
465.0;634920;data_0.tr;0;1
466.0;554200;data_0.tr;0;1
467.0;604560;data_0.tr;0;1
468.0;604760;data_0.tr;0;1
469.0;605400;data_0.tr;0;1
470.0;604360;data_0.tr;0;1
471.0;474000;data_0.tr;0;1
472.0;735840;data_0.tr;0;1
473.0;806280;data_0.tr;0;1
474.0;605200;data_0.tr;0;1
475.0;604480;data_0.tr;0;1
476.0;604520;data_0.tr;0;1
477.0;604600;data_0.tr;0;1
478.0;524480;data_0.tr;0;1
479.0;484160;data_0.tr;0;1
480.0;604480;data_0.tr;0;1
481.0;403680;data_0.tr;0;1
482.0;644960;data_0.tr;0;1
483.0;564600;data_0.tr;0;1
484.0;604280;data_0.tr;0;1
485.0;504160;data_0.tr;0;1
486.0;504320;data_0.tr;0;1
487.0;604880;data_0.tr;0;1
488.0;604440;data_0.tr;0;1
489.0;604360;data_0.tr;0;1
490.0;605120;data_0.tr;0;1
491.0;604840;data_0.tr;0;1
492.0;604480;data_0.tr;0;1
493.0;524440;data_0.tr;0;1
494.0;484280;data_0.tr;0;1
495.0;624920;data_0.tr;0;1
496.0;584080;data_0.tr;0;1
497.0;433960;data_0.tr;0;1
498.0;624880;data_0.tr;0;1
499.0;554360;data_0.tr;0;1
500.0;604920;data_0.tr;0;1
501.0;604160;data_0.tr;0;1
502.0;605360;data_0.tr;0;1
503.0;604560;data_0.tr;0;1
504.0;554240;data_0.tr;0;1
505.0;474280;data_0.tr;0;1
506.0;624880;data_0.tr;0;1
507.0;564240;data_0.tr;0;1
508.0;604560;data_0.tr;0;1
509.0;403680;data_0.tr;0;1
510.0;604880;data_0.tr;0;1
511.0;624960;data_0.tr;0;1
512.0;584080;data_0.tr;0;1
513.0;484160;data_0.tr;0;1
514.0;524080;data_0.tr;0;1
515.0;605040;data_0.tr;0;1
516.0;604840;data_0.tr;0;1
517.0;604240;data_0.tr;0;1
518.0;464120;data_0.tr;0;1
519.0;544040;data_0.tr;0;1
520.0;605000;data_0.tr;0;1
521.0;604600;data_0.tr;0;1
522.0;423800;data_0.tr;0;1
523.0;584480;data_0.tr;0;1
524.0;604240;data_0.tr;0;1
525.0;806960;data_0.tr;0;1
526.0;715480;data_0.tr;0;1
527.0;695240;data_0.tr;0;1
528.0;403760;data_0.tr;0;1
529.0;604720;data_0.tr;0;1
530.0;604600;data_0.tr;0;1
531.0;604480;data_0.tr;0;1
532.0;484280;data_0.tr;0;1
533.0;524040;data_0.tr;0;1
534.0;604640;data_0.tr;0;1
535.0;604640;data_0.tr;0;1
536.0;444120;data_0.tr;0;1
537.0;564280;data_0.tr;0;1
538.0;604400;data_0.tr;0;1
539.0;604920;data_0.tr;0;1
540.0;413880;data_0.tr;0;1
541.0;604800;data_0.tr;0;1
542.0;594040;data_0.tr;0;1
543.0;484240;data_0.tr;0;1
544.0;524480;data_0.tr;0;1
545.0;604520;data_0.tr;0;1
546.0;604640;data_0.tr;0;1
547.0;403640;data_0.tr;0;1
548.0;624880;data_0.tr;0;1
549.0;634920;data_0.tr;0;1
550.0;554280;data_0.tr;0;1
551.0;604720;data_0.tr;0;1
552.0;584320;data_0.tr;0;1
553.0;424000;data_0.tr;0;1
554.0;635000;data_0.tr;0;1
555.0;574240;data_0.tr;0;1
556.0;604600;data_0.tr;0;1
557.0;403760;data_0.tr;0;1
558.0;604480;data_0.tr;0;1
559.0;403600;data_0.tr;0;1
560.0;624880;data_0.tr;0;1
561.0;614840;data_0.tr;0;1
562.0;574160;data_0.tr;0;1
563.0;514160;data_0.tr;0;1
564.0;494000;data_0.tr;0;1
565.0;604960;data_0.tr;0;1
566.0;604440;data_0.tr;0;1
567.0;504160;data_0.tr;0;1
568.0;504160;data_0.tr;0;1
569.0;604320;data_0.tr;0;1
570.0;403800;data_0.tr;0;1
571.0;625000;data_0.tr;0;1
572.0;584520;data_0.tr;0;1
573.0;604360;data_0.tr;0;1
574.0;464080;data_0.tr;0;1
575.0;544520;data_0.tr;0;1
576.0;604720;data_0.tr;0;1
577.0;604400;data_0.tr;0;1
578.0;443880;data_0.tr;0;1
579.0;564240;data_0.tr;0;1
580.0;604760;data_0.tr;0;1
581.0;604680;data_0.tr;0;1
582.0;403600;data_0.tr;0;1
583.0;604840;data_0.tr;0;1
584.0;604240;data_0.tr;0;1
585.0;574560;data_0.tr;0;1
586.0;524480;data_0.tr;0;1
587.0;514080;data_0.tr;0;1
588.0;584280;data_0.tr;0;1
589.0;624920;data_0.tr;0;1
590.0;604800;data_0.tr;0;1
591.0;484280;data_0.tr;0;1
592.0;524320;data_0.tr;0;1
593.0;604520;data_0.tr;0;1
594.0;604480;data_0.tr;0;1
595.0;604800;data_0.tr;0;1
596.0;484280;data_0.tr;0;1
597.0;524320;data_0.tr;0;1
598.0;604520;data_0.tr;0;1
599.0;605080;data_0.tr;0;1
0.0;261680;data_4.tr;0;11
1.0;171560;data_4.tr;0;11
2.0;191280;data_4.tr;0;11
3.0;272200;data_4.tr;0;11
4.0;392840;data_4.tr;0;11
5.0;332720;data_4.tr;0;11
6.0;80960;data_4.tr;0;11
7.0;181160;data_4.tr;0;11
8.0;201760;data_4.tr;0;11
9.0;231840;data_4.tr;0;11
10.0;423160;data_4.tr;0;11
11.0;453400;data_4.tr;0;11
12.0;413040;data_4.tr;0;11
13.0;121640;data_4.tr;0;11
14.0;211600;data_4.tr;0;11
15.0;251960;data_4.tr;0;11
16.0;141120;data_4.tr;0;11
17.0;100880;data_4.tr;0;11
18.0;241560;data_4.tr;0;11
19.0;201760;data_4.tr;0;11
20.0;231960;data_4.tr;0;11
21.0;120840;data_4.tr;0;11
22.0;131040;data_4.tr;0;11
23.0;171520;data_4.tr;0;11
24.0;291960;data_4.tr;0;11
25.0;272160;data_4.tr;0;11
26.0;60800;data_4.tr;0;11
27.0;171080;data_4.tr;0;11
28.0;171560;data_4.tr;0;11
29.0;241840;data_4.tr;0;11
30.0;181520;data_4.tr;0;11
31.0;120720;data_4.tr;0;11
32.0;151320;data_4.tr;0;11
33.0;221680;data_4.tr;0;11
34.0;282000;data_4.tr;0;11
